Date ,Open ,Close 
10-Feb-21,"15,119.05","15,106.50"
11-Feb-21,"15,073.25","15,173.30"
12-Feb-21,"15,186.20","15,163.30"
15-Feb-21,"15,270.30","15,314.70"
16-Feb-21,"15,371.45","15,313.45"
17-Feb-21,"15,279.90","15,208.90"
18-Feb-21,"15,238.70","15,118.95"
19-Feb-21,"15,074.80","14,981.75"
22-Feb-21,"14,999.05","14,675.70"
23-Feb-21,"14,782.25","14,707.80"
24-Feb-21,"14,729.15","14,982.00"
25-Feb-21,"15,079.85","15,097.35"
26-Feb-21,"14,888.60","14,529.15"
01-Mar-21,"14,702.50","14,761.55"
02-Mar-21,"14,865.30","14,919.10"
03-Mar-21,"15,064.40","15,245.60"
04-Mar-21,"15,026.75","15,080.75"
05-Mar-21,"14,977.95","14,938.10"
08-Mar-21,"15,002.45","14,956.20"
09-Mar-21,"15,049.90","15,098.40"
10-Mar-21,"15,202.15","15,174.80"
12-Mar-21,"15,321.15","15,030.95"
15-Mar-21,"15,048.40","14,929.50"
16-Mar-21,"14,996.10","14,910.45"
17-Mar-21,"14,946.55","14,721.30"
18-Mar-21,"14,855.50","14,557.85"
19-Mar-21,"14,471.15","14,744.00"
22-Mar-21,"14,736.30","14,736.40"
23-Mar-21,"14,768.55","14,814.75"
24-Mar-21,"14,712.45","14,549.40"
25-Mar-21,"14,570.90","14,324.90"
26-Mar-21,"14,506.30","14,507.30"
30-Mar-21,"14,628.50","14,845.10"
31-Mar-21,"14,811.85","14,690.70"
01-Apr-21,"14,798.40","14,867.35"
05-Apr-21,"14,837.70","14,637.80"
06-Apr-21,"14,737.00","14,683.50"
07-Apr-21,"14,716.45","14,819.05"
08-Apr-21,"14,875.65","14,873.80"
09-Apr-21,"14,882.65","14,834.85"
12-Apr-21,"14,644.65","14,310.80"
13-Apr-21,"14,364.90","14,504.80"
15-Apr-21,"14,522.40","14,581.45"
16-Apr-21,"14,599.60","14,617.85"
19-Apr-21,"14,306.60","14,359.45"
20-Apr-21,"14,526.70","14,296.40"
22-Apr-21,"14,219.15","14,406.15"
23-Apr-21,"14,326.35","14,341.35"
26-Apr-21,"14,449.45","14,485.00"
27-Apr-21,"14,493.80","14,653.05"
28-Apr-21,"14,710.50","14,864.55"
29-Apr-21,"14,979.00","14,894.90"
30-Apr-21,"14,747.35","14,631.10"
03-May-21,"14,481.05","14,634.15"
04-May-21,"14,687.25","14,496.50"
05-May-21,"14,604.15","14,617.85"
06-May-21,"14,668.35","14,724.80"
07-May-21,"14,816.85","14,823.15"
10-May-21,"14,928.25","14,942.35"
11-May-21,"14,789.70","14,850.75"
12-May-21,"14,823.55","14,696.50"
14-May-21,"14,749.40","14,677.80"
17-May-21,"14,756.25","14,923.15"
18-May-21,"15,067.20","15,108.10"
19-May-21,"15,058.60","15,030.15"
20-May-21,"15,042.60","14,906.05"
21-May-21,"14,987.80","15,175.30"
24-May-21,"15,211.35","15,197.70"
25-May-21,"15,291.75","15,208.45"
26-May-21,"15,257.05","15,301.45"
27-May-21,"15,323.95","15,337.85"
28-May-21,"15,421.20","15,435.65"
31-May-21,"15,437.75","15,582.80"
01-Jun-21,"15,629.65","15,574.85"
02-Jun-21,"15,520.35","15,576.20"
03-Jun-21,"15,655.55","15,690.35"
04-Jun-21,"15,712.50","15,670.25"
07-Jun-21,"15,725.10","15,751.65"
08-Jun-21,"15,773.90","15,740.10"
09-Jun-21,"15,766.30","15,635.35"
10-Jun-21,"15,692.10","15,737.75"
11-Jun-21,"15,796.45","15,799.35"
14-Jun-21,"15,791.40","15,811.85"
15-Jun-21,"15,866.95","15,869.25"
16-Jun-21,"15,847.50","15,767.55"
17-Jun-21,"15,648.30","15,691.40"
18-Jun-21,"15,756.50","15,683.35"
21-Jun-21,"15,525.85","15,746.50"
22-Jun-21,"15,840.50","15,772.75"
23-Jun-21,"15,862.80","15,686.95"
24-Jun-21,"15,737.30","15,790.45"
25-Jun-21,"15,839.35","15,860.35"
28-Jun-21,"15,915.35","15,814.70"
29-Jun-21,"15,807.50","15,748.45"
30-Jun-21,"15,776.90","15,721.50"
01-Jul-21,"15,755.05","15,680.00"
02-Jul-21,"15,705.85","15,722.20"
05-Jul-21,"15,793.40","15,834.35"
06-Jul-21,"15,813.75","15,818.25"
07-Jul-21,"15,819.60","15,879.65"
08-Jul-21,"15,855.40","15,727.90"
09-Jul-21,"15,688.25","15,689.80"
12-Jul-21,"15,766.80","15,692.60"
13-Jul-21,"15,794.00","15,812.35"
14-Jul-21,"15,808.70","15,853.95"
15-Jul-21,"15,872.15","15,924.20"
16-Jul-21,"15,958.35","15,923.40"
19-Jul-21,"15,754.50","15,752.40"
20-Jul-21,"15,703.95","15,632.10"
22-Jul-21,"15,736.60","15,824.05"
23-Jul-21,"15,856.80","15,856.05"
26-Jul-21,"15,849.30","15,824.45"
27-Jul-21,"15,860.50","15,746.45"
28-Jul-21,"15,761.55","15,709.40"
29-Jul-21,"15,762.70","15,778.45"
30-Jul-21,"15,800.60","15,763.05"
02-Aug-21,"15,874.90","15,885.15"
03-Aug-21,"15,951.55","16,130.75"
04-Aug-21,"16,195.25","16,258.80"
05-Aug-21,"16,288.95","16,294.60"
06-Aug-21,"16,304.40","16,238.20"
09-Aug-21,"16,281.35","16,258.25"
10-Aug-21,"16,274.80","16,280.10"
11-Aug-21,"16,327.30","16,282.25"
12-Aug-21,"16,303.65","16,364.40"
13-Aug-21,"16,385.70","16,529.10"
16-Aug-21,"16,518.40","16,563.05"
17-Aug-21,"16,545.25","16,614.60"
18-Aug-21,"16,691.95","16,568.85"
20-Aug-21,"16,382.50","16,450.50"
23-Aug-21,"16,592.25","16,496.45"
24-Aug-21,"16,561.40","16,624.60"
25-Aug-21,"16,654.00","16,634.65"
26-Aug-21,"16,627.95","16,636.90"
27-Aug-21,"16,642.55","16,705.20"
30-Aug-21,"16,775.85","16,931.05"
31-Aug-21,"16,947.50","17,132.20"
01-Sep-21,"17,185.60","17,076.25"
02-Sep-21,"17,095.40","17,234.15"
03-Sep-21,"17,262.45","17,323.60"
06-Sep-21,"17,399.35","17,377.80"
07-Sep-21,"17,401.55","17,362.10"
08-Sep-21,"17,375.75","17,353.50"
09-Sep-21,"17,312.85","17,369.25"
13-Sep-21,"17,363.55","17,355.30"
14-Sep-21,"17,420.35","17,380.00"
15-Sep-21,"17,387.65","17,519.45"
16-Sep-21,"17,539.20","17,629.50"
17-Sep-21,"17,709.65","17,585.15"
20-Sep-21,"17,443.85","17,396.90"
21-Sep-21,"17,450.50","17,562.00"
22-Sep-21,"17,580.90","17,546.65"
23-Sep-21,"17,670.85","17,822.95"
24-Sep-21,"17,897.45","17,853.20"
27-Sep-21,"17,932.20","17,855.10"
28-Sep-21,"17,906.45","17,748.60"
29-Sep-21,"17,657.95","17,711.30"
30-Sep-21,"17,718.90","17,618.15"
01-Oct-21,"17,531.90","17,532.05"
04-Oct-21,"17,615.55","17,691.25"
05-Oct-21,"17,661.35","17,822.30"
06-Oct-21,"17,861.50","17,646.00"
07-Oct-21,"17,810.55","17,790.35"
08-Oct-21,"17,886.85","17,895.20"
11-Oct-21,"17,867.55","17,945.95"
12-Oct-21,"17,915.80","17,991.95"
13-Oct-21,"18,097.85","18,161.75"
14-Oct-21,"18,272.85","18,338.55"
18-Oct-21,"18,500.10","18,477.05"
19-Oct-21,"18,602.35","18,418.75"
20-Oct-21,"18,439.90","18,266.60"
21-Oct-21,"18,382.70","18,178.10"
22-Oct-21,"18,230.70","18,114.90"
25-Oct-21,"18,229.50","18,125.40"
26-Oct-21,"18,154.50","18,268.40"
27-Oct-21,"18,295.85","18,210.95"
28-Oct-21,"18,187.65","17,857.25"
29-Oct-21,"17,833.05","17,671.65"
01-Nov-21,"17,783.15","17,929.65"
02-Nov-21,"17,970.90","17,888.95"
03-Nov-21,"17,947.95","17,829.20"
04-Nov-21,"17,935.05","17,916.80"
08-Nov-21,"18,040.20","18,068.55"
09-Nov-21,"18,084.35","18,044.25"
10-Nov-21,"17,973.45","18,017.20"
11-Nov-21,"17,967.45","17,873.60"
12-Nov-21,"17,977.60","18,102.75"
15-Nov-21,"18,140.95","18,109.45"
16-Nov-21,"18,127.05","17,999.20"
17-Nov-21,"17,939.35","17,898.65"
18-Nov-21,"17,890.55","17,764.80"
22-Nov-21,"17,796.25","17,416.55"
23-Nov-21,"17,281.75","17,503.35"
24-Nov-21,"17,550.05","17,415.05"
25-Nov-21,"17,417.30","17,536.25"
26-Nov-21,"17,338.75","17,026.45"
29-Nov-21,"17,055.80","17,053.95"
30-Nov-21,"17,051.15","16,983.20"
01-Dec-21,"17,104.40","17,166.90"
02-Dec-21,"17,183.20","17,401.65"
03-Dec-21,"17,424.90","17,196.70"
06-Dec-21,"17,209.05","16,912.25"
07-Dec-21,"17,044.10","17,176.70"
08-Dec-21,"17,315.25","17,469.75"
09-Dec-21,"17,524.40","17,516.85"
10-Dec-21,"17,476.05","17,511.30"
13-Dec-21,"17,619.10","17,368.25"
14-Dec-21,"17,283.20","17,324.90"
15-Dec-21,"17,323.65","17,221.40"
16-Dec-21,"17,373.00","17,248.40"
17-Dec-21,"17,276.00","16,985.20"
20-Dec-21,"16,824.25","16,614.20"
21-Dec-21,"16,773.15","16,770.85"
